Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Allenopithecus nigroviridis,,,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.729950392,3.50242712,53.69704571,7,fem,Isler et al. 2008,3180,1,fem,Isler et al. 2008,Smith&Jungers 1997
Allocebus trichotis,,,Allocebus_trichotis,Allocebus_trichotis,Allocebus_trichotis,,Cheirogaleidae,Extant,Ancestral,,,,,,,,,,,
Alouatta arctoidea,,,Alouatta_arctoidea,Alouatta_arctoidea,Alouatta_arctoidea,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta belzebul,,,Alouatta_belzebul,Alouatta_belzebul,Alouatta_belzebul,Alouattinae,Atelidae,Extant,Ancestral,1.707083299,3.742332282,50.94285714,14,fem,van Woerden compilation,5525,26,fem,Isler et al. 2008,Ford and Davis 1992 in Smith and Jungers 1997
Alouatta caraya,,,Alouatta_caraya,Alouatta_caraya,Alouatta_caraya,Alouattinae,Atelidae,Extant,Ancestral,1.692223855,3.627365857,49.22932199,6,fem,van Woerden compilation,4240,5,fem,Isler et al. 2008 (matching),matching ECV
Alouatta discolor,,,Alouatta_discolor,Alouatta_discolor,Alouatta_discolor,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta guariba,,,Alouatta_guariba,Alouatta_guariba,Alouatta_guariba,Alouattinae,Atelidae,Extant,Ancestral,1.685781071,3.658011397,48.50439263,9,fem,van Woerden compilation,4550,3,fem,Isler et al. 2008,matching ECV
Alouatta juara,,,Alouatta_juara,Alouatta_juara,Alouatta_juara,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta macconnelli,,,Alouatta_macconnelli,Alouatta_macconnelli,Alouatta_macconnelli,Alouattinae,Atelidae,Extant,Ancestral,1.72966336,,53.66156815,1,fem,van Woerden compilation,,,,,
Alouatta palliata,,,Alouatta_palliata,Alouatta_palliata,Alouatta_palliata,Alouattinae,Atelidae,Extant,Ancestral,1.68944861,3.728353782,48.915738,30,fem,van Woerden compilation,5350,177,fem,Isler et al. 2008,Peres 1994 in Smith and Jungers 1997
Alouatta pigra,,,Alouatta_pigra,Alouatta_pigra,Alouatta_pigra,Alouattinae,Atelidae,Extant,Ancestral,1.691744369,3.748808005,49.175,20,fem,van Woerden compilation,5608,40,fem,Glander in ATWP 2011,
Alouatta sara,,,Alouatta_sara,Alouatta_sara,Alouatta_sara,Alouattinae,Atelidae,Extant,Ancestral,1.753965866,,56.75,2,fem,van Woerden compilation,,,,,
Alouatta seniculus,,,Alouatta_seniculus,Alouatta_seniculus,Alouatta_seniculus,Alouattinae,Atelidae,Extant,Ancestral,1.742636833,3.716837723,55.28875791,39,fem,van Woerden compilation,5210,76,fem,Isler et al. 2008,"Ayres 86, Rudran 79, Braza et al 83, Hernandez-Camacho&Defler 85 in Smith and Jungers 1997"
Aotus azarae,,,Aotus_azarae,Aotus_azarai,Aotus_azarae,,Aotidae,Extant,Ancestral,1.304036554,3.096910013,20.1389375,8,all individuals,van Woerden compilation,1250,55,all individuals,Fernandez-Duque 2004 in same 07,
Aotus miconax,,,Aotus_miconax,Aotus_miconax,Aotus_miconax,,Aotidae,Extant,Ancestral,1.22160051,,16.65714286,7,all individuals,van Woerden compilation,,,,,
Aotus nancymaae,,,Aotus_nancymaae,Aotus_nancymaae,Aotus_nancymae,,Aotidae,Extant,Ancestral,1.252549647,2.895974732,17.8875,8,all individuals,van Woerden compilation,787,56,all individuals,Aquino and Encarnacion 1986b inFernandez-Duque 07,
Aotus nigriceps,,,Aotus_nigriceps,Aotus_nigriceps,Aotus_nigriceps,,Aotidae,Extant,Ancestral,1.245288284,2.981365509,17.59090909,11,all individuals,van Woerden compilation,958,3,all individuals,Isler et al. 2008,Peres 1993 in Smith and Jungers 1997
